Longitude,Latitude,Actual_UHI,Predicted_UHI,Correct
-70.53431333,-33.59650833,Low,Low,True
-70.53372167,-33.59679167,Low,Low,True
-70.53316,-33.59709667,Low,Medium,False
-70.532635,-33.59740833,Low,Low,True
-70.532135,-33.59775167,Low,Medium,False
-70.53167667,-33.598115,Low,Low,True
-70.53124667,-33.59843167,Low,Low,True
-70.53105667,-33.59872667,Low,Low,True
-70.53101,-33.59902333,Low,Low,True
-70.53115333,-33.59939833,Medium,Medium,True
-70.53127833,-33.59963333,Medium,Medium,True
-70.53142,-33.59990333,Medium,Medium,True
-70.53157167,-33.6002,Medium,Low,False
-70.53173167,-33.60054167,Medium,Medium,True
-70.53194333,-33.600895,Low,Low,True
-70.53217833,-33.60125,Low,Low,True
-70.53239333,-33.60163833,Low,Low,True
-70.53262167,-33.602025,Low,Medium,False
-70.53281333,-33.60239,Low,Low,True
-70.53293667,-33.60265667,Low,Low,True
-70.53307333,-33.60300833,Low,Low,True
-70.53321167,-33.60339,Low,Medium,False
-70.53330333,-33.60369167,Low,Low,True
-70.533395,-33.603975,Medium,Medium,True
-70.53352,-33.60430833,Medium,Low,False
-70.53362833,-33.60464333,Medium,Medium,True
-70.53375667,-33.60498667,Medium,Medium,True
-70.534005,-33.60532833,Medium,Medium,True
-70.53415,-33.60558833,Medium,Medium,True
-70.534285,-33.60587167,Medium,Medium,True
-70.53443667,-33.60615333,Medium,Low,False
-70.534655,-33.60641167,Medium,Medium,True
-70.53500833,-33.606595,Low,Low,True
-70.53543333,-33.60677167,Low,Low,True
-70.53583667,-33.60691333,Low,Low,True
-70.53627333,-33.60704833,Low,Low,True
-70.53671333,-33.60725,Low,Low,True
-70.53710167,-33.6075,Low,Low,True
-70.53742833,-33.60773667,Low,Low,True
-70.53767833,-33.60791333,Low,Low,True
-70.53801333,-33.60816,Low,Medium,False
-70.53826,-33.60833667,Low,Medium,False
-70.53857333,-33.60855,Low,Medium,False
-70.53883333,-33.608725,Low,Low,True
-70.53912,-33.60892333,Low,Low,True
-70.53946333,-33.60915167,Low,Low,True
-70.5398,-33.609405,Low,Low,True
-70.54020167,-33.60964333,Low,High,False
-70.54055,-33.60989667,Low,Low,True
-70.54088667,-33.61012333,Low,Low,True
-70.54118167,-33.61031667,Low,Low,True
-70.54146833,-33.610505,Low,Low,True
-70.54176,-33.61074,Low,Low,True
-70.54201,-33.61090833,Low,Low,True
-70.542275,-33.61111,Low,Low,True
-70.54255,-33.61129167,Low,Medium,False
-70.542865,-33.61137833,Low,Low,True
-70.54322667,-33.61134,Medium,Medium,True
-70.54362333,-33.611275,Medium,Medium,True
-70.54412833,-33.61118333,Medium,Medium,True
-70.54462833,-33.61107667,Medium,Medium,True
-70.54504667,-33.610995,Low,Low,True
-70.54541667,-33.610915,Medium,Low,False
-70.545925,-33.610825,Low,Low,True
-70.54652167,-33.61070167,Low,Low,True
-70.54708333,-33.61056833,Low,Low,True
-70.54756167,-33.61045333,Low,Low,True
-70.54792167,-33.61040167,Low,Low,True
-70.54832,-33.61031667,Low,Low,True
-70.54881833,-33.61018667,Low,Low,True
-70.54925167,-33.61010333,Low,Low,True
-70.54960833,-33.61001667,Low,Low,True
-70.55010333,-33.60992,Medium,Medium,True
-70.55065333,-33.60982667,Medium,Medium,True
-70.55127667,-33.60984667,Low,Low,True
-70.55193833,-33.60988833,Low,Medium,False
-70.552595,-33.60991167,Low,Low,True
-70.55323,-33.60993333,Low,Low,True
-70.55384333,-33.60994833,Low,Low,True
-70.55422167,-33.609975,Low,Low,True
-70.55462167,-33.60997667,Low,Low,True
-70.555,-33.60999,Low,Low,True
-70.55544333,-33.61000167,Low,Low,True
-70.55599667,-33.61002167,Low,Low,True
-70.556565,-33.61003167,Low,Low,True
-70.55712333,-33.610055,Low,Low,True
-70.55767833,-33.61008167,Medium,Low,False
-70.55809333,-33.61009667,Medium,Low,False
-70.55839667,-33.610095,Low,Low,True
-70.55884833,-33.61016667,Low,Low,True
-70.55937,-33.61027333,Low,Low,True
-70.55998,-33.61039667,Low,Low,True
-70.560565,-33.61049833,Low,Low,True
-70.561085,-33.61062333,Low,Low,True
-70.56165167,-33.61074333,Low,Medium,False
-70.562225,-33.61084833,Low,Low,True
-70.56271,-33.61095333,Low,Low,True
-70.56304667,-33.61102333,Low,Low,True
-70.56346333,-33.61109167,Low,Low,True
-70.56391333,-33.61117333,Low,Low,True
-70.564355,-33.61126,Low,Low,True
-70.56481333,-33.61135333,Low,Low,True
-70.565325,-33.61143833,Low,Low,True
-70.56576333,-33.611505,Low,Low,True
-70.566175,-33.61156167,Low,Low,True
-70.56665,-33.61163167,Low,Low,True
-70.56715333,-33.611715,Low,Low,True
-70.56761167,-33.61176667,Low,Low,True
-70.56799833,-33.61182833,Low,Low,True
-70.56839333,-33.61188833,Low,Low,True
-70.56881167,-33.61225667,Medium,Medium,True
-70.56873833,-33.61258833,Medium,Low,False
-70.568625,-33.613025,Low,Low,True
-70.56855667,-33.61345333,Low,Low,True
-70.56846,-33.61383833,Medium,Medium,True
-70.568365,-33.61426167,Low,Low,True
-70.56828167,-33.61466667,Low,Low,True
-70.56818333,-33.61502167,Low,Low,True
-70.568135,-33.61529333,Low,Low,True
-70.56835667,-33.61543,Low,Low,True
-70.56873,-33.61548,Low,Low,True
-70.56913,-33.61554,Medium,Medium,True
-70.56950167,-33.61559167,Medium,Medium,True
-70.56985667,-33.615635,Medium,Medium,True
-70.57028167,-33.61569667,Low,Low,True
-70.570685,-33.61576833,Low,Low,True
-70.57102,-33.61581167,Low,Low,True
-70.57149,-33.61586,Medium,Medium,True
-70.571815,-33.61589667,Medium,Medium,True
-70.57221167,-33.615965,Medium,Medium,True
-70.57250833,-33.61600833,Medium,Medium,True
-70.57286833,-33.616055,Medium,Medium,True
-70.57327833,-33.61609333,Medium,Medium,True
-70.57372,-33.61616333,Medium,Medium,True
-70.57414,-33.61623667,Low,Low,True
-70.574575,-33.61628167,Low,Low,True
-70.57488833,-33.61631667,Low,Low,True
-70.57525333,-33.61636,Low,Low,True
-70.57587167,-33.616425,Low,Low,True
-70.576255,-33.61648,Low,Low,True
-70.57665667,-33.616545,Low,Low,True
-70.57703,-33.61659667,Low,Low,True
-70.57744,-33.61666167,Low,Low,True
-70.577845,-33.61671667,Low,Low,True
-70.57828833,-33.616805,Low,Low,True
-70.578765,-33.61688167,Low,Low,True
-70.57927167,-33.61694,Low,Low,True
-70.5798,-33.61700833,Low,Low,True
-70.58030333,-33.61708667,Low,Low,True
-70.58079833,-33.617185,Low,Low,True
-70.58126333,-33.61727,Medium,Low,False
-70.58162667,-33.617295,Low,Low,True
-70.58203167,-33.61735667,Low,Low,True
-70.58247833,-33.61741833,Low,Low,True
-70.58293,-33.617485,Low,Low,True
-70.583385,-33.61753667,Low,Low,True
-70.58379,-33.61760833,Low,Low,True
-70.584225,-33.61767333,Medium,Medium,True
-70.58460333,-33.617735,Medium,Medium,True
-70.58508667,-33.61780333,Low,Low,True
-70.58557833,-33.61787667,Low,Low,True
-70.58610833,-33.617965,Low,Low,True
-70.58667,-33.61805,Low,Low,True
-70.58720167,-33.61813167,Low,Low,True
-70.58765333,-33.61821,Low,Low,True
-70.58805333,-33.61822333,Low,Low,True
-70.588435,-33.61826667,Low,Low,True
-70.58876333,-33.61830333,Medium,Low,False
-70.58914667,-33.61834833,Medium,Medium,True
-70.58957667,-33.61842333,Low,Low,True
-70.59004333,-33.61848667,Low,Low,True
-70.59044167,-33.618125,Low,Medium,False
-70.59046833,-33.617745,Low,Low,True
-70.59051,-33.61734167,Low,Low,True
-70.59054333,-33.61702333,Low,Low,True
-70.59055,-33.616725,Low,Low,True
-70.59060167,-33.616225,Medium,Medium,True
-70.59063,-33.61589333,Low,Low,True
-70.59065333,-33.615505,Low,Low,True
-70.59068333,-33.61516333,Low,Low,True
-70.59071167,-33.61490667,Low,Low,True
-70.59040667,-33.61444833,Low,Low,True
-70.590105,-33.61444,Low,Low,True
-70.58978333,-33.61444333,Low,Low,True
-70.58896167,-33.61443333,Medium,Medium,True
-70.58905833,-33.61438833,Medium,Medium,True
-70.59084167,-33.61409667,Low,Low,True
-70.590915,-33.61374333,Low,Low,True
-70.59098833,-33.613335,Low,Low,True
-70.59107333,-33.61293167,Low,Low,True
-70.59113333,-33.61260667,Low,Low,True
-70.59119833,-33.61232833,Low,Low,True
-70.59129,-33.611905,Low,Low,True
-70.59137833,-33.61143,Low,Low,True
-70.59150333,-33.61094,Low,Low,True
-70.59158,-33.61042833,Low,Low,True
-70.59169833,-33.609985,Low,Low,True
-70.59174833,-33.609585,Low,Low,True
-70.59181,-33.60920833,Low,Low,True
-70.59188333,-33.60889667,Low,Low,True
-70.59197333,-33.60855167,Medium,Medium,True
-70.59204667,-33.60821333,Low,Low,True
-70.59213,-33.60786167,Low,Low,True
-70.59218833,-33.60747,Medium,Medium,True
-70.59230167,-33.607065,Low,Low,True
-70.59235333,-33.60668833,Low,Low,True
-70.59240833,-33.606305,Low,Low,True
-70.59250667,-33.60590333,Low,Low,True
-70.59258833,-33.60550333,Low,Low,True
-70.59267,-33.60511667,Low,Low,True
-70.59274333,-33.60479667,Medium,Medium,True
-70.59280833,-33.60443333,Low,Low,True
-70.59294167,-33.60399,Low,Low,True
-70.593135,-33.60356333,Low,Low,True
-70.59331333,-33.60313667,Low,Low,True
-70.593515,-33.602755,Low,Low,True
-70.59367,-33.60245,Low,Medium,False
-70.59379833,-33.60217,Low,Low,True
-70.59392667,-33.60180167,Low,Low,True
-70.59402333,-33.60139167,Low,Low,True
-70.59412667,-33.60094667,Low,Low,True
-70.594195,-33.60056,Low,Low,True
-70.59424667,-33.60020667,Low,Low,True
-70.59428333,-33.59981667,Low,Low,True
-70.594355,-33.59936333,Low,Low,True
-70.59445333,-33.5989,Low,Low,True
-70.59451333,-33.59854,Low,Low,True
-70.59457667,-33.59819167,Low,Low,True
-70.59463833,-33.59779,Low,Low,True
-70.59472667,-33.597355,Low,Low,True
-70.59481,-33.59697667,Low,Low,True
-70.59486333,-33.59656167,Medium,Medium,True
-70.59491167,-33.59614667,Medium,Low,False
-70.59502,-33.59578,Medium,Medium,True
-70.59511,-33.595325,Medium,Medium,True
-70.59519833,-33.59486167,Low,Low,True
-70.59528167,-33.59441167,Low,Low,True
-70.59536167,-33.59394167,Low,Low,True
-70.59542167,-33.59359333,Low,Low,True
-70.59547333,-33.59328667,Low,Low,True
-70.595535,-33.59292833,Low,Low,True
-70.59560333,-33.59253167,Low,Low,True
-70.59567333,-33.592215,Low,Low,True
-70.59574333,-33.59188333,Low,Low,True
-70.59581833,-33.59143833,Low,Low,True
-70.59592167,-33.59095667,Low,Low,True
-70.59597667,-33.59051667,Low,Low,True
-70.59602167,-33.59011167,Low,Low,True
-70.59613,-33.58965167,Low,Low,True
-70.59623167,-33.58919667,Low,Medium,False
-70.59628333,-33.58877333,Low,Low,True
-70.59634167,-33.58839333,Low,Medium,False
-70.59640167,-33.58806833,Low,Medium,False
-70.59648333,-33.58747,Medium,Medium,True
-70.596565,-33.58708,Low,Low,True
-70.59663667,-33.58663,Low,Low,True
-70.59672,-33.586185,Low,Low,True
-70.59678667,-33.58579,Low,Low,True
-70.59685667,-33.585395,Low,Low,True
-70.59693667,-33.58504,Low,Low,True
-70.59698667,-33.584715,Low,Low,True
-70.59705333,-33.58424833,Low,Low,True
-70.59714,-33.583775,Low,Low,True
-70.59720667,-33.583325,Low,Medium,False
-70.59729333,-33.58289667,Low,Low,True
-70.59734833,-33.58252833,Low,Low,True
-70.59726667,-33.58221167,Low,Low,True
-70.59729167,-33.58187833,Low,Low,True
-70.59700167,-33.58140833,Medium,Medium,True
-70.596525,-33.581345,Low,Medium,False
-70.595975,-33.58128833,Low,Low,True
-70.59542667,-33.58121333,Low,Low,True
-70.59487,-33.58115333,Low,Low,True
-70.594355,-33.581085,Low,Low,True
-70.59379167,-33.58101333,Low,Low,True
-70.5933,-33.58091667,Low,Low,True
-70.59291833,-33.580875,Low,Low,True
-70.59242833,-33.58078833,Medium,Low,False
-70.59196,-33.58072333,Medium,Medium,True
-70.59141833,-33.58064333,Medium,Medium,True
-70.59092667,-33.58056333,Medium,Medium,True
-70.59054333,-33.58052,Medium,Medium,True
-70.59007333,-33.58045,Medium,Medium,True
-70.58963,-33.58038667,Medium,Medium,True
-70.58929,-33.580345,Medium,Medium,True
-70.58890833,-33.58029167,Medium,Medium,True
-70.58839833,-33.58020833,Medium,Medium,True
-70.58781333,-33.58011167,Medium,Medium,True
-70.58705333,-33.580015,Medium,Medium,True
-70.58649833,-33.57997167,Medium,Medium,True
-70.58587333,-33.57989167,Low,Low,True
-70.58524833,-33.57980667,Low,Low,True
-70.58465167,-33.57973667,Low,Low,True
-70.58406667,-33.57965667,Medium,Medium,True
-70.58354,-33.57958833,Medium,Medium,True
-70.58312333,-33.57954667,Low,Low,True
-70.5828,-33.57954167,Low,Low,True
-70.58240167,-33.57947,Low,Low,True
-70.58189833,-33.57993,Low,Low,True
-70.58183167,-33.58027333,Low,Low,True
-70.58176333,-33.58059833,Low,Medium,False
-70.58184167,-33.58087667,Low,Low,True
-70.58995583,-33.6144275,Low,Low,True
-70.5887825,-33.614415,Medium,Medium,True
-70.58203222,-33.57950111,Low,Low,True
-70.580475,-33.587165,Low,Low,True
-70.58039667,-33.58746167,Low,Low,True
-70.58031833,-33.58780167,Low,Low,True
-70.580235,-33.58818167,Medium,Medium,True
-70.58016167,-33.58849667,Medium,Medium,True
-70.58011833,-33.58876667,Low,Low,True
-70.58009167,-33.58909167,Medium,Medium,True
-70.58003,-33.58949667,Medium,Medium,True
-70.579955,-33.58991333,Low,Medium,False
-70.57986667,-33.59036167,Medium,Medium,True
-70.579735,-33.59079667,Low,Low,True
-70.57963667,-33.59124833,Low,High,False
-70.57955,-33.591645,Low,Low,True
-70.57949667,-33.59194,Low,Medium,False
-70.57941667,-33.59243667,Low,Low,True
-70.57933333,-33.59279333,Low,Low,True
-70.579265,-33.593225,Low,Low,True
-70.57918833,-33.59363667,Low,Low,True
-70.57908333,-33.59408333,Low,Low,True
-70.579,-33.59452167,Low,Low,True
-70.57893,-33.59497333,Low,Low,True
-70.578815,-33.59545333,Medium,Medium,True
-70.57868333,-33.59595,Medium,Low,False
-70.57860167,-33.59643167,Medium,Medium,True
-70.57851667,-33.59689833,Medium,Medium,True
-70.578415,-33.59722333,Medium,Medium,True
-70.57833167,-33.59756333,Medium,Medium,True
-70.57826,-33.59784333,Medium,Medium,True
-70.57816833,-33.59810667,Medium,Medium,True
-70.577675,-33.598075,Low,Low,True
-70.57717333,-33.598035,Low,Low,True
-70.57667,-33.59795,Low,Low,True
-70.57609167,-33.59791833,Low,Low,True
-70.57552167,-33.59787333,Low,Low,True
-70.57503167,-33.59782,Low,Low,True
-70.57465333,-33.59779,Low,Low,True
-70.57430833,-33.59776167,Medium,Low,False
-70.57387667,-33.59772,Medium,Medium,True
-70.57332,-33.59768,Medium,Medium,True
-70.572785,-33.59764833,Low,Low,True
-70.572345,-33.597585,Low,Low,True
-70.57185333,-33.597555,Low,Medium,False
-70.571385,-33.597505,Low,Low,True
-70.57093667,-33.59747167,Low,Low,True
-70.57055667,-33.59744167,Low,Low,True
-70.57023167,-33.59740833,Medium,Medium,True
-70.56984667,-33.59736667,Medium,Medium,True
-70.56941833,-33.59734,Medium,Medium,True
-70.56903167,-33.59730333,Medium,Medium,True
-70.5687,-33.59727333,Medium,Medium,True
-70.56834,-33.597245,Medium,Medium,True
-70.56794667,-33.59720667,Low,Low,True
-70.56751333,-33.597165,Medium,Medium,True
-70.56711667,-33.59713333,Low,Medium,False
-70.566225,-33.59677667,Medium,Low,False
-70.56632833,-33.59644,Medium,Medium,True
-70.56647333,-33.59602667,Medium,Medium,True
-70.56657333,-33.59555833,Medium,Medium,True
-70.56669833,-33.59510333,Low,Low,True
-70.56667667,-33.594685,Medium,Medium,True
-70.56661167,-33.59423833,Medium,Medium,True
-70.56654333,-33.59379333,Medium,Medium,True
-70.56647,-33.59338667,Medium,Medium,True
-70.56641167,-33.59307667,Medium,Medium,True
-70.56622833,-33.59283667,Medium,Low,False
-70.56585333,-33.59281833,Low,Low,True
-70.56539,-33.5928,Medium,Medium,True
-70.56488833,-33.59276333,Medium,Medium,True
-70.56438333,-33.59273,Medium,Medium,True
-70.56385,-33.59268833,Low,Low,True
-70.563355,-33.59263667,Low,Low,True
-70.56298333,-33.59262333,Low,Low,True
-70.562625,-33.59260667,Low,Low,True
-70.56221,-33.59258167,Low,Low,True
-70.56179,-33.59256333,Low,Low,True
-70.56134,-33.59253,Low,Low,True
-70.56094333,-33.59249667,Low,Low,True
-70.56056667,-33.59249,Low,Low,True
-70.56023833,-33.59274333,Low,Medium,False
-70.560055,-33.59302833,Low,Low,True
-70.55983167,-33.59335667,Low,Low,True
-70.55962,-33.59373167,Low,Low,True
-70.55937667,-33.59411,Low,Low,True
-70.55915167,-33.594485,Low,Low,True
-70.55894,-33.59481,Medium,Medium,True
-70.558755,-33.59513833,Medium,Medium,True
-70.55859833,-33.59541833,Medium,Low,False
-70.55841333,-33.59573167,Low,Low,True
-70.5582,-33.59605667,Low,Low,True
-70.55804,-33.59634333,Low,Low,True
-70.557715,-33.59652333,Low,Low,True
-70.55737,-33.59649333,Low,Low,True
-70.5569,-33.59649,Low,Low,True
-70.55642833,-33.59645,Low,Low,True
-70.55602833,-33.59638667,Low,Low,True
-70.5557,-33.59637167,Low,Low,True
-70.55524,-33.596335,Low,Low,True
-70.55482667,-33.59624333,Low,Low,True
-70.55431333,-33.59619667,Low,Low,True
-70.55373833,-33.596135,Low,Low,True
-70.55317,-33.59607,Low,Low,True
-70.55265833,-33.59600167,Low,Low,True
-70.552165,-33.59590167,Low,Low,True
-70.551655,-33.59585333,Low,Low,True
-70.55119667,-33.595815,Medium,Low,False
-70.55081333,-33.59573667,Medium,Low,False
-70.55037833,-33.59571333,Low,Low,True
-70.549965,-33.59568333,Low,Low,True
-70.54948,-33.59561,Low,Medium,False
-70.54909667,-33.59558667,Low,Low,True
-70.54871667,-33.595535,Low,Low,True
-70.548255,-33.59545167,Low,Medium,False
-70.54776833,-33.5954,Low,Low,True
-70.54736667,-33.59536667,Low,Low,True
-70.546965,-33.59531833,Low,Low,True
-70.54658667,-33.59526333,Low,Low,True
-70.54622667,-33.59521833,Low,Low,True
-70.54583167,-33.59514,Low,Low,True
-70.54554167,-33.59491833,Low,Low,True
-70.54522667,-33.59457,Low,Low,True
-70.545005,-33.59427667,Low,Low,True
-70.54479667,-33.59402833,Low,Low,True
-70.54457333,-33.59376833,Low,Medium,False
-70.54439,-33.59353,Low,Low,True
-70.54415,-33.59323,Low,Low,True
-70.543845,-33.59289,Low,Low,True
-70.54352667,-33.59254,Low,Low,True
-70.54323,-33.59217667,Low,Low,True
-70.54294833,-33.59185833,Low,Low,True
-70.54275667,-33.59161,Low,Low,True
-70.54242333,-33.59141667,Low,Low,True
-70.54204167,-33.59133167,Low,Low,True
-70.541345,-33.5914,Medium,Medium,True
-70.54092667,-33.59135833,Medium,Medium,True
-70.54051,-33.59142667,Medium,Medium,True
-70.54025,-33.591655,Medium,Medium,True
-70.53994667,-33.59199,Medium,Medium,True
-70.53963833,-33.59237833,Low,Low,True
-70.53934667,-33.59281167,Low,Low,True
-70.53904333,-33.59320833,Low,Low,True
-70.53878333,-33.59356833,Low,Low,True
-70.53851667,-33.59390667,Low,Low,True
-70.53826667,-33.59423,Low,Low,True
-70.53804667,-33.59448833,Low,Low,True
-70.53771,-33.594805,Low,Low,True
-70.53723333,-33.59510167,Low,Low,True
-70.53675333,-33.59535667,Low,Low,True
-70.53624333,-33.59557,Low,Low,True
-70.53574,-33.59582833,Low,Low,True
-70.53517667,-33.59610167,Low,Medium,False
-70.534615,-33.596355,Low,Low,True
-70.53401667,-33.59664167,Low,Low,True
-70.53344667,-33.59692333,Low,Medium,False
-70.53291333,-33.59725667,Low,Medium,False
-70.53239,-33.597575,Low,Medium,False
-70.53189833,-33.59793667,Low,Low,True
-70.531435,-33.59828667,Low,Low,True
-70.53112833,-33.59859667,Low,Low,True
